#deck:Fantastico! - 07 - Ti Piace
"Ti place?";"Gefallt es dir?"
"due passi";"ein paar Schritte, ein klei-<br>ner Spaziergang"
"Il passo";"Schritt"
"It libro";"Buch"
"tantissimo";"wirklich sehr"
"il tulipano";"Tulpe"
"vecchlo/a";"alt"
"Che nola!";"Wie langweilig!"
"pol";"hier: auBerdem"
"un'altro/a...";"noch ein/e …"
"la chitarra";"Gitarre"
"cantare";"singen"
"la gente";"Leute"
"restare";"bleiben"
"a casa";"zu Hause"
"la serle TV";"Fernsehserie"
"finalmente";"endlich"
"Le";"Ihnen (sg)"
"la foto";"Foto"
"contro";"gegen; hier: dagegen"
"fotografico/a pl-ci-che";"Foto(grafie)"
"il golf";"Golf"
"la danza";"Tanz"
"l'invito";"Einladung"
"proporre"";"vorschlagen"
"Pronto?";"Hallo? (am Telefon)"
"Sentl!";"Hör mal!"
"domani";"morgen"
"la sera";"Abend"
"Dove d yediamo?";"Wo treffen wir uns?"
"vedersl";"sich treffen"
"proprlo";"wirklich"
"Invitare";"einladen"
"megllo";"besser; hier: lieber"
"Tl va di...?";"Hast du Lust zu .…?"
"Il pomerigglo";"Nachmittag"
"cl andiamo inf andarci";"wir gehen hin"
"Peccato!";"Schade!"
"Vi va di...?";"Habt ihr Lust zu ….?"
"sabato sera";"am Samstagabend"
"avere gla un impegno";"schon etwas vorhaben"
"glà";"schon"
"l'impegno";"Verabredung, Verpflich-<br>tung"
"d'accordo";"einverstanden"
"insieme";"zusammen"
"venerdi prossimo";"am nachsten Freitag"
"il mimo";"Mime"
"prendere un<br>appuntamento";"hier: sich verabreden"
"l'appuntamento";"hier: Verabredung"
"da";"hier: zu"
"Il/la dentista";"Zahnarzt/-arztin"
"Il/la parrucchlere/a";"Friseur/in"
"fare jogging";"joggen"
"l'appuntamento";"hier: Termin"
"anche a me";"mir auch"
"a me si";"mir schon"
"con calma";"in aller Ruhe"
"anch'lo";"ich auch"
"neanch'lo";"ich auch nicht"
"neanche a me";"mir auch nicht"
"a me no";"mir nicht"
"lo si";"ich schon"
"lo no";"ich nicht"
"la musica hip hop";"Hip-Hop"
"andare in moto";"Motorrad fahren"
"non tanto";"hier: nicht so sehr"
"il programma";"Programm"
"Il centro citta";"Stadtzentrum"
"Il trekking urbano";"Stadtwanderung"
"INC il soprano";"Sopran"
"Che emozione!";"Wie aufregend!"
"l'emozione f";"Gefuhl, Emotion"
"la musa Ispiratrice";"Muse"
"da";"hier: als"
"a volte";"manchmal"
"duro/a";"hart"
"vedere"";"sehen"
"I miel amicl";"meine Freunde"
"essere in vlagglo";"auf Reisen sein"
"il vlagglo";"Reise"
"la Scala di Milano";"Mailander Scala"
"Il San Carlo di Napoli";"Theater San Carlo in<br>Neapel"
"fa troppo caldo/freddo";"es ist zu warm/kalt"
"stimolare";"anregen"
"l'appetito";"Appetit"
"rimanere";"bleiben"
"aspettare";"(er)warten"
"I'Arena di Verona";"Arena von Verona"
"il/la giovane";"junger Mensch"
"fare di tutto";"alles daran setzen"
"cambiare";"(ver)andern"
"la tendenza";"Tendenz"
"il talent show";"Castingshow"
"la scuola";"Schule"
"pubblicare";"veroffentlichen"
"suoi pl";"ihre/seine"
"il video";"Video"
"fondere";"hier: verbinden, vereinen"
"l'aria";"Arie"
"la canzone";"Lied"
"pop-ljrico/a pl-ci/-che";"Klassik-Pop"
"convincere";"überzeugen"
"noioso/a";"langweilig"
"cool";"cool"
"l'amante m/f";"Liebhaber/in"
"il piano";"Klavier"
"l'orchestra";"Orchester"
"il/la musicista";"Musiker/in"
"il villaggio turistico";"Feriendorf"
"con che frequenza?";"wie haufig?"
"la frequenza";"Haufigkeit"
"il questionario";"Fragebogen"
"nascosto/a";"versteckt"
