#html:true
#deck:Fantastico! A1::DE -> IT::11 - Qui si mangia bene
"erster Gang";"il primo"
"Löffel";"il cucchlalo"
"Suppe";"la zuppa"
"Serviette";"il tovagliolo"
"(gedeckter) Tisch";"la tavola"
"ol";"l'ollo"
"zum Beispiel";"per esemplo"
"Salz";"Il sale"
"blutig";"al sangue"
"probieren";"assagglare"
"fade";"insipido/a"
"hier bitteschon";"ecco qua"
"wunschen";"gradire (-isc-)"
"Vanille";"la vaniglia"
"Karamell";"il caramello"
"vielleicht";"magarl"
"Meeresfruchte";"I frutti <i> pl di mare </i>"
"nennen";"nominare"
"worauf";"a che cosa"
"sich beziehen";"riferirsl (-isc-)"
"hier: wir haben kein/e <br> mehr";"abblamo finito.."
"davon";"ne"
"hier: Aussehen";"l'aspetto"
"Portion";"la porzlone"
"Banane";"la banana"
"bewerten";"valutare"
"Witz";"la barzelletta"
"Vermutungen anstellen";"a fare delle potesi"
"(Zeitungs)Artikel";"l'artlcolo"
"bedeuten";"significare"
"Worum geht es in dem";"Di che cosa parla"
"Artikel?";"l'articolo?"
"Stil";"lo stlle"
"Ernahrungs-";"alimentare"
"gesund";"sano/a"
"ausgewogen";"equilibrato/a"
"Diat";"la dleta"
"Mittelmeer-";"mediterraneo/a"
"hier: Studie";"lo studio"
"aktuell";"attuale"
"frisch";"fresco/a pl-chi/-che"
"reduzieren, verringern";"ridurre"
"Konsum,Verbrauch";"il consumo"
"konsumieren,verzehren";"consumare"
"Vorsorge, Pravention";"la prevenzione"
"Gesundheit";"la salute"
"alt werden";"invecchiare"
"sagen";"dire""
"Sprichwort";"il proverblo"
"Grund";"la raglone"
"Freude";"i placere"
"in Gesellschaft";"in compagnla"
"sozial";"soclale"
"schon immer, seit eh und <br> je";"da sempre"
"Bedeutung";"I'"Importanza"
"von hoher Oualitat";"di alta qualita"
"Pandemie";"la pandemia"
"zeigen";"mostrare"
"steigen";"aumentare"
"Aufmerksamkeit";"I'attenzionef"
"ein Viertel";"un quarto"
"beseitigen; hier: verzich- <br> ten auf";"eliminare"
"Bio-";"blologlco/a pl-ci-che"
"saisonal";"staglonale"
"hier: versuchen, sich be <br> muhen";"cercare"
"gemaß, nach";"secondo"
"darstellen";"rappresentare"
"Gemeinsamkeit";"la condivisione"
"Gluck";"la felicita"
"daruber hinaus";"Inoltre"
"hier: ungesund sein";"bfar male"
"Ernahrung";"I'almentazione f"
"viel";"tanto aw"
"Adjektiv";"c l'aggettivo"
"Adverb";"l'avverblo"
"personlich";"personalmente"
"Geschmack";"il gusto"
"reif";"maturo/a"
"widerstehen";"c resistere"
"intolerant gegen";"intollerante a"
"allergisch gegen";"allerglco/aa pl-ci-che"
"einer gastronomischen <br> Spezialitat gewidmetes <br> Volksfest";"INC la sagra"
"Fischer/in";"ll/la pescatore/-trice"
"Dorf";"il borgo pl-ghi"
"selten";"raro/a"
"frittieren";"frlggere"
"Pfanne";"la padella"
"gigantisch, riesengroB";"gigante"
"breit";"largo/a pl-ghi-ghe"
"wiegen";"pesare"
"Tonne";"la tonnellata"
"einzige/r/s";"solo/a"
"es schaffen";"rluscire a"
"Boot";"la barca"
"eben, gerade";"appena"
"fangen, fischen";"pescare"
"SoBe";"la salsa"
"eines Tages";"un glorno"
"aufhoren";"smettere""
"Volks-";"popolare"
"typisch";"tipicamente"
"yerbunden mit";"legato/a a"
"Schutzpatron/in";"ll/la santo/a patrono/a"
"wirklich, echt";"vero/a"
"Heiliger/Heilige";"il/la santo/a"
"Polenta";"la polenta"
"Esskastanie";"la castagna"
"dunn aufgeschnittenes, <br> mit einer ThunfischsoBe <br> Oberzogenes Kalbfleisch";"Il vitello tonnato"
"Steak";"la blstecca"
"Stress";"lo stress"
"vielleicht";"forse"
"Herr Doktor";"Dottore"
"Taxifahrer/in";"ll/la tassista"
"Valpolicella-Wein";"Il Valpollcella"
"Kostprobe";"l'assagglo"
