#html:true
#deck:Fantastico! A1::DE -> IT::06 - Dove fai la spessa
"einkaufen";"fare la spesa"
"können";"potere""
"hier: verwenden";"usare"
"Kuhlschrank";"il frigo"
"Einkaufswagen";"l carrello della spesa"
"hier: Uhrzeit";"l'ora"
"Offnungszeiten";"gli orarl pl"
"bei Ihnen; bei euch";"da vol"
"zu Abend essen";"cenare <br> Il glorno della settimana Wochentag"
"Sonntag";"la domenica"
"sonntags";"la domenica"
"Montag";"il lunedi"
"montags";"il lunedi"
"Dienstag";"il martedi"
"Mittwoch";"il mercoledi"
"Donnerstag";"Il glovedi"
"Freitag";"Il venerdi"
"Samstag";"Il sabato"
"praktisch";"pratico/a <i> pl -c/-che </i>"
"es ist wichtig, das zu wis- <br> sen";"e Importante saperlo"
"Ihr/e (pl); euer/e";"vostro/a"
"punktlich";"puntuale"
"Verspatung";"Il ritardo"
"normal";"normale"
"Regel";"la regola"
"was ….angeht";"riguardo a.…."
"jedoch";"però"
"Unterschied";"la differenza"
"verschiedene";"diversl/-e pl"
"Region";"la reglone"
"hier: Dorf";"il paese"
"geöffnet";"aperto/a"
"einige";"alcunl/-e pl"
"durchgehende Offnungs- <br> zeiten haben";"fare orarlo continuato"
"also, folglich";"quindi"
"hier: Ober Mittag";"a pranzo"
"Einkaufszentrum";"Il centro commerclale"
"der/die/das ganze …";"tutto/a..."
"oft";"spesso"
"Morgen, Vormittag";"la mattina"
"morgens,vormittags";"la mattina"
"einmal";"una volta"
".mal die Woche";"... volte alla settimana"
"manche, einige";"qualche"
"zu jeder Uhrzeit";"a tutte le ore"
"viele";"moltl/e"
"im Allgemeinen";"generalmente"
"geschlossen";"chluso/a"
"Offnung";"I'apertura"
"Gaststatte";"la trattorla"
"Wie viel Uhr ist es?";"Che ora e?/Che ore <br> sono?"
"es ist ein Uhr";"el'una"
"es ist zwolf Uhr mittags";"è mezzoglorno"
"es ist Mitternacht";"e mezzanotte"
"es ist .….(Uhr)";"sono le.."
"morgens";"di mattina"
"abends";"di sera"
"nachts";"di notte"
"es ist funf nach …";"sono le... e cinque"
"es ist Viertel nach";"sono le... e un quarto"
"es ist halb elf";"sono le dled e mezza/ <br> mezzo"
"es ist funf vor ….";"sono le... meno cinque"
"es ist Viertel vor …";"sono le... meno un <br> quarto"
"es ist zwanzig vor";"sono le... meno venti"
"zwischen .….und ..Uhr";"tra le...e le..."
"dazu";"in plù"
"fruhstucken";"fare colazione"
"schlafen";"dormire"
"schlafen gehen";"andare a dormire"
"Person,die Nudeln von <br> Hand herstellt";"INC lo/la sfoglino/a"
"existieren";"esistere"
"Geschaft, in dem frische <br> Nudeln von Hand herge- <br> stellt und verkauft werden";"il pastificio"
"diese/r/s";"questo/a"
"Tradition";"la tradizione"
"seit";"da"
"Generation";"la generazione"
"GroBvater/-mutter, Opa/ <br> Oma";"Il/la nonno/a"
"Mama, Mutter";"la mamma"
"Nudelteig";"la sfoglia"
"hier: verarbeiten";"lavorare"
"hier: Teig";"la pasta"
"Basis, Grundlage";"la base"
"Tortellini";"I tortellini pl"
"Lasagne";"le lasagne pl"
"erster Gang";"Il primo platto"
"Kunst";"l'arte"
"von Hand";"a mano"
"Maschine, Gerat";"Il macchinario"
"Rezept";"la ricetta"
"wenig";"poco/a <i> pl -chi/-che </i>"
"Zutat";"l'ingrediente m"
"Ei";"l'uovo <i> pl uova </i>"
"viel";"tanto/a"
"Leidenschaft";"la passlone"
"hier: Stand";"il banco"
"besuchen kommen";"venire a trovare"
"Kategorie";"la categorla"
"Tiramisu";"Il tiramisu"
"Einkaufsliste";"la llsta della spesa"
"normalerweise";"normalmente"
"seltsam";"strano/a"
"Risotto";"Il risotto"
"Mascarpone";"Il mascarpone"
"auf Genueser Art";"alla genovese"
"bringen";"portare"
"Spanisch (Sprache)";"lo spagnolo"
"Fest";"la festa"
