#html:true
#deck:Fantastico! A1::DE -> IT::02 - Un albergo
"Hotel";"l'albergo pl-ghi"
"tragen Sie ein";"OInserlte infinserire"
"Gesprach, Unterhaltung";"la conversazione <br> <i> pl conversazioni </i>"
"im Hotel";"In albergo"
"im Erdgeschoss";"al planterreno"
"Erdgeschoss";"iIl planterreno"
"Kombination,Zusammen- <br> stellung";"a combinazlone"
"Zahlenreihe";"I numerl <i> pl in sequenza </i>"
"finnisch";"finlandese"
"Grad (Temperatur)";"il grado"
"….Grad heif sein";"essere a...gradi"
"Beruf";"la professlone <br> <i> pl professioni </i>"
"Nachname";"a Il cognome"
"Nationalitat";"la nazionalita"
"ich stelle mich vor";"ml presento <i> inf <br> presentarsi </i>"
"Hollandisch (Sprache)";"I'olandese m"
"Melodie";"la melodia"
"hier: der iainschr <br> Sprache";"dell'itallano"
"Pizza Margherita (mit <br> passierten Tomaten und <br> Mozzarella)";"la (plzza) margherita"
