#html:true
#deck:Fantastico! A1::IT -> DE::09 - Aria di vacanza
"sportivo/a";"Sport-, sportlich"
"a si";"man"
"Il/la turista";"Tourist/in"
"elettrico/a pl-ci/-che";"Elektro-"
"Il chilometro";"Kilometer"
"Quanto dura...?";"Wie lange dauert …?"
"attraversare";"hindurchgehen durch, <br> durchqueren"
"b la tabella";"Tabelle"
"il nolegglo";"Verleih"
"il percorso";"Strecke, Route"
"ultimo/a";"letzte/r/s"
"la mall";"Mail"
"telefonare a";"anrufen"
"gli occhiall <i> pl da sole </i>";"Sonnenbrille"
"la canoa";"Kanu"
"la durata";"Dauer"
"la tappa";"Etappe"
"il laghetto";"kleiner See"
"il pernottamento";"Obernachtung"
"a l'inferno";"Hölle"
"ill post";"Post"
"pensare";"denken"
"trovarsi";"sich befinden, sein"
"Aluto!";"Hilfe!"
"odlare";"hassen"
"la fatica";"Anstrengung"
"svegllarsl";"aufwachen"
"presto";"fruh"
"alzarsl";"aufstehen"
"lavarsi";"sich waschen"
"il bagno in comune";"Gemeinschaftsbad"
"vestirsl";"sich anziehen"
"Iin fretta";"eilig"
"pedalare";"in die Pedale treten"
"addormentarsi";"einschlafen"
"la nota";"Anmerkung"
"positivo/a";"positiv"
"la festa di paese";"Dorffest"
"ognl volta";"jedes Mal"
"comunque";"jedenfalls"
"b il verbo riflessivo";"reflexives Verb"
"freddo/a";"kalt"
"la musica rock";"Rockmusik"
"la tazza";"Tasse"
"ll sondagglo";"Umfrage"
"la mezzanotte";"Mitternacht"
"concentrarsi";"sich konzentrieren"
"il dente <br> a l'incidente m di percorso Zwischenfall";"Zahn"
"b sotto";"unten; unter"
"Mi dica! <i> inf dire </i>";"Ja bitte?, Sie wunschen?"
"l'asciugamano";"Handtuch"
"la docda pl-ce";"Dusche"
"rotto/a";"kaputt"
"volere"";"wollen"
"cambiare";"hier: wechseln"
"la stanza";"Zimmer"
"stamattina";"heute Morgen"
"nolegglare";"hier: mieten"
"ricordarsl";"sich erinnern"
"funzionare";"funktionieren"
"risolvere"";"beheben, losen"
"dare"";"geben"
"gentile";"freundlich"
"I'errore m";"Fehler"
"non c'e problema";"kein Problem"
"lamentarsl";"sich beschweren"
"scusarsi";"sich entschuldigen"
"la scusa";"Entschuldigung"
"il platto";"hier: Teller"
"INC il rispetto";"Respekt; hier: ROcksicht"
"difficlle";"schwierig"
"I'agenzia di vlaggl";"Reiseburo"
"alternativo/a";"Alternativ-"
"rispettoso/a <br> dell'amblente";"umweltbewusst"
"l'amblente m";"Umwelt"
"la destinazlone";"Reiseziel"
"varlo/a";"yerschieden"
"meditativo/a";"Meditations-"
"Il tratto";"Strecke, Stuck"
"la vla dil pellegrinagglo";"Pilgerweg"
"l'Europa";"Europa"
"ill glorno dopo";"am nachsten Tag"
"bellissimo/a";"wunderschon"
"il paesagglo";"Landschaft"
"sentire";"hier:sporen"
"Immerso/a";"eingetaucht"
"il silenzio";"Stille"
"ritrovarsi";"sich zusammenfinden"
"la comodita";"Bequemlichkeit"
"il trasporto";"Transport"
"il bagaglio";"Gepack(stuck)"
"magglori informazioni";"nahere Informationen"
"la realta";"hier: Moglichkeiten"
"la strada";"StraBe"
"l'Inghilterra";"England"
"portare a";"fuhren nach"
"il comune";"Gemeinde"
"Il totale";"Gesamtzahl"
"lungo ll percorso";"entlang der Strecke"
"pernottare";"ubernachten"
"la struttura";"Einrichtung"
"a basso costo";"preiswert, gunstig"
"religloso/a";"religios"
"Ovendere";"verkaufen"
"servire";"servieren"
"ecologico/a pl-ci/-che";"umweltfreundlich"
"scoprire";"entdecken"
"l Glappone";"Japan"
"invece";"hingegen"
"Il glornale";"Zeitung"
"la Spagna";"Spanien"
"Barcellona";"Barcelona"
"l'esame m";"Prufung"
"l'universita";"Universitat"
"Bolzano";"Bozen"
"Invernale";"Winter-"
"la Loira";"Loire"
"la sveglia";"Wecker"
"ll domino";"Domino"
"Icontrario";"Gegenteil"
