#html:true
#deck:Fantastico! A1::DE -> IT::14 - Come a casa
"Barock";"il barocco"
"ahnlich";"simile"
"auBergewohnlich";"straordinarlo/a"
"Einwohner/in";"l'abitante m/f"
"Obergangs-";"temporaneo/a"
"Arbeiter/in";"Il/la lavoratore/-trice"
"Feld";"Il campo"
"Provinz";"la provincla"
"sogar";"addirittura"
"kleine Stadt";"la cittadina"
"erklart";"dichlarato/a"
"Weltkulturerbe";"il patrimonlo mondiale <br> dell'umanita"
"Ordnungszahl";"il numero ordinale"
"Kamin";"ll camino"
"Idealbeispiel";"I'ldeale m"
"verbringen";"trascorrere""
"voller Entspannung";"in pleno relax"
"mitten im Zentrum";"in pleno centro"
"kurz";"breve"
"mit allen Annehmlichkei <br> ten ausgestattet";"dotato/a di tuttl i servizl"
"genau";"preciso/a"
"ausreichend";"sufficlente"
"haufig";"frequente"
"Doppel-";"matrimoniale"
"Haushaltsgerat";"l'elettrodomestico pl-ci"
"Gegenstand";"l'oggetto"
"Rose";"la rosa"
