#html:true
#deck:Fantastico! A1::IT -> DE::14 - Come a casa
"il barocco";"Barock"
"collegato/a";"verbunden"
"il locale";"Raum"
"dall'altra parte";"auf der anderen Seite"
"la porta";"Tar"
"ll buco";"Loch"
"In alto";"oben"
"I'interno";"Innenbereich"
"l'esterno";"AuBenbereich"
"plenamente";"in vollen Zogen"
"l'architettura";"Architektur"
"pugllese";"apulisch"
"contattare";"kontaktieren"
"disponibile";"verfugbar"
"l'affltto";"Mieten"
"sogglornare";"untergebracht sein"
"simile";"ahnlich"
"straordinarlo/a";"auBergewohnlich"
"l'abitante m/f";"Einwohner/in"
"temporaneo/a";"Obergangs-"
"Il/la lavoratore/-trice";"Arbeiter/in"
"Il campo";"Feld"
"la provincla";"Provinz"
"addirittura";"sogar"
"la cittadina";"kleine Stadt"
"dichlarato/a";"erklart"
"il patrimonlo mondiale <br> dell'umanita";"Weltkulturerbe"
"il numero ordinale";"Ordnungszahl"
"ll camino";"Kamin"
"I'ldeale m";"Idealbeispiel"
"trascorrere"";"verbringen"
"in pleno relax";"voller Entspannung"
"in pleno centro";"mitten im Zentrum"
"breve";"kurz"
"dotato/a di tuttl i servizl";"mit allen Annehmlichkei <br> ten ausgestattet"
"preciso/a";"genau"
"sufficlente";"ausreichend"
"frequente";"haufig"
"matrimoniale";"Doppel-"
"l'elettrodomestico pl-ci";"Haushaltsgerat"
"l'oggetto";"Gegenstand"
"la rosa";"Rose"
