#html:true
#deck:Fantastico! A1::DE -> IT::13 - Tutti in forma
"in Form, fit";"In forma"
"Schlaf";"il sonno"
"Erholung";"iIl riposo"
"praktizieren, machen";"praticare"
"lachen";"rldere""
"Familienangehorige/r";"il/la familiare"
"regelmabig";"regolarmente"
"untersuchen, prufen";"controllare"
"sich bedanken";"ringrazlare"
"Berater/in";"il/la consulente"
"Liste";"la lista"
"Imperativ, Befehlsform";"l'imperativo"
"Infinitiv";"l'infinito"
"entsprechend";"corrispondente"
"heben, strecken";"alzare"
"durchfuhren";"eseguire"
"Anweisung";"l'lstruzione f"
"auf Seite …";"a pagina..."
"Seite";"la pagina"
"Tafel";"la lavagna"
"aus dem Fenster";"fuori dalla finestra"
"Fenster";"la flnestra"
"gelassen nehmen";"prendere con filosofia"
"Philosophie";"la fllosofla"
"es eilig haben, in Eile sein";"avere fretta"
"Eile";"la fretta"
"schwer (verdaulich)";"pesante"
"hier: einsam";"solo/a"
"wie lange?, seit wann?";"da quanto tempo?"
"Symptom";"Il sintomo"
"vorgestern";"I'altro lerl"
"verstehen";"capire (-isc-)"
"Husten";"la tosse"
"gleiche/r/s";"stesso/a"
"Grippe";"I'influenza"
"entzundet";"Infiammato/a"
"die Grippe bekommen";"prendere I'influenza"
"Antibiotikum";"l'antibioticopl-"
"furs Erste";"per il momento"
"Schmerzmittel";"l'antidolorifico <i> pl -i </i>"
"Saft";"lo sciroppo"
"(Lutsch)Tablette";"la pastiglia"
"Vitamin";"la vitamina"
"Honig";"Il mlele"
"Salbei-";"alla salvla"
"mussen";"dovere""
"Patient/in";"ll/la pazlente"
"Durchfall";"la dlarrea"
"wirklich";"veramente"
"Bild";"l'immagine f"
"im Sonderangebot";"In offerta"
"Tablette";"la compressa"
"digitales Fieberthermo- <br> meter";"il termometro digitale"
"Spray";"lo spray"
"Desinfektionsmittel";"Il disinfettante"
"Salbe";"la pomata"
"Pflaster";"il cerotto"
"Tropfen";"la goccia pl-ce"
"Erste-Hilfe-";"dl primo soccorso"
"stark";"forte"
"Fall";"ll caso"
"Insektenstich";"la puntura d'insetto"
"Insekt";"l'insetto"
"hoch";"alto/a"
"Wunde";"la ferita"
"Allergie";"l'allergla"
"Verdauung";"la digestione"
"warm, heiB";"caldo/a"
"Eis";"ll ghlacco pl-ci"
"stechen";"pungere"
"schicken";"a mandare"
"identifizieren";"Identificare"
"Schatz";"ll tesoro"
"besuchen";"frequentare"
"der/die Einzige";"l'unico/a pl-ci/-che"
"Brille";"gli occhiall pl"
"lockig";"ricclo/a pl-ci/-ce"
"feste/r Freund/in";"il/la fldanzato/a"
"braun";"castano/a"
"schochtern";"timldo"
"alt, altere/r/s";"anziano/a"
"Apotheker/in";"il/la farmacista"
"in Rente";"in penslone"
"blond";"blondo/a"
"glatt";"lisclo/a"
"Tierarzt/-arztin";"il/la veterinarlo/a"
"hinter";"dietro (a)"
"hier: groB";"alto/a"
"Pilates";"il pllates"
"Nachricht";"notizla"
"klein";"b basso/a"
"kraftig";"robusto/a"
"Bart";"la barba"
"braunhaarig";"bruno/a"
"dunn";"c magro/a"
"unsympathisch";"antipatico/a pl-ci/-che"
"extrovertiert";"estroverso/a"
"kahl, glatzköpfig";"calvo/a"
"Schnurrbart";"Ibaffl pl"
"wenn";"INC se"
"ein Haufen Geld";"un sacco di soldi"
"Behandlung, Kur";"la cura"
"medizinisch";"medico/a pl-ci/-che"
"Schonheitsbehandlung";"il trattamento di <br> bellezza"
"oder";"oppure"
"bequem";"comodamente"
"Ubers Meer";"via mare"
"kleiner Hafen";"il portlcciolo"
"erlauben";"permettere"
"Stufe";"lo scalino"
"(ein)steigen";"salire""
"vollkommen entspannt";"in totale relax"
"dorthin";"là"
"seit";"fin da"
"Antike";"l'antichita"
"Heilwirkung";"I'effetto salutare"
"Wirkung";"l'effetto"
"gesund";"salutare"
"nicht nur";"oltre a"
"Mineralsalz";"il sale minerale"
"Stimmung, Atmosphare";"l'atmosfera"
"Quelle";"la sorgente"
"Thermal-";"termale"
"Ort";"la localita"
"gratis";"gratultamente"
"erschwinglich";"accessibile"
"Wasserfall";"la cascata"
"bekannt";"conosciuto/a"
"spektakular";"spettacolare"
"Experte/Expertin";"l'esperto/a"
"Safran";"lo zafferano"
"anbraten";"soffriggere"
"kochen";"cuocere"
"gerieben";"grattuglato/a"
"Tutchen";"la bustina"
"lecker";"gustoso/a"
"leicht, vorsichtig";"dolcemente"
"wiedererlangen";"riprendere"
"Konsonant";"la consonante"
"doppelt, Doppel-";"dopplo/a"
