#html:true
#deck:Fantastico! A1::IT -> DE::13 - Tutti in forma
"In forma";"in Form, fit"
"un sacco di soldi";"ein Haufen Geld"
"la cura";"Behandlung, Kur"
"medico/a pl-ci/-che";"medizinisch"
"il trattamento di <br> bellezza";"Schonheitsbehandlung"
"oppure";"oder"
"comodamente";"bequem"
"via mare";"Ubers Meer"
"il portlcciolo";"kleiner Hafen"
"permettere";"erlauben"
"lo scalino";"Stufe"
"salire"";"(ein)steigen"
"in totale relax";"vollkommen entspannt"
"là";"dorthin"
"fin da";"seit"
"l'antichita";"Antike"
"I'effetto salutare";"Heilwirkung"
"l'effetto";"Wirkung"
"salutare";"gesund"
"oltre a";"nicht nur"
"il sale minerale";"Mineralsalz"
"l'atmosfera";"Stimmung, Atmosphare"
"la sorgente";"Quelle"
"termale";"Thermal-"
"la localita";"Ort"
"gratultamente";"gratis"
"accessibile";"erschwinglich"
"la cascata";"Wasserfall"
"conosciuto/a";"bekannt"
"spettacolare";"spektakular"
"l'esperto/a";"Experte/Expertin"
"lo zafferano";"Safran"
"soffriggere";"anbraten"
"cuocere";"kochen"
"grattuglato/a";"gerieben"
"la bustina";"Tutchen"
"gustoso/a";"lecker"
"dolcemente";"leicht, vorsichtig"
"riprendere";"wiedererlangen"
"la consonante";"Konsonant"
"dopplo/a";"doppelt, Doppel-"
