#html:true
#deck:Fantastico! A1::11 - Qui si mangia bene
"il primo";"erster Gang"
"il cucchlalo";"Löffel"
"la zuppa";"Suppe"
"il tovagliolo";"Serviette"
"la tavola";"(gedeckter) Tisch"
"l'ollo";"ol"
"per esemplo";"zum Beispiel"
"Il sale";"Salz"
"al sangue";"blutig"
"assagglare";"probieren"
"insipido/a";"fade"
"ecco qua";"hier bitteschon"
"gradire (-isc-)";"wunschen"
"la vaniglia";"Vanille"
"il caramello";"Karamell"
"magarl";"vielleicht"
"I frutti <i> pl di mare </i>";"Meeresfruchte"
"nominare";"nennen"
"a che cosa";"worauf"
"riferirsl (-isc-)";"sich beziehen"
"abblamo finito..";"hier: wir haben kein/e <br> mehr"
"ne";"davon"
"l'aspetto";"hier: Aussehen"
"la porzlone";"Portion"
"la banana";"Banane"
"valutare";"bewerten"
"la barzelletta";"Witz"
"a fare delle potesi";"Vermutungen anstellen"
"l'artlcolo";"(Zeitungs)Artikel"
"significare";"bedeuten"
"Di che cosa parla";"Worum geht es in dem"
"l'articolo?";"Artikel?"
"lo stlle";"Stil"
"alimentare";"Ernahrungs-"
"sano/a";"gesund"
"equilibrato/a";"ausgewogen"
"la dleta";"Diat"
"mediterraneo/a";"Mittelmeer-"
"lo studio";"hier: Studie"
"attuale";"aktuell"
"fresco/a pl-chi/-che";"frisch"
"ridurre";"reduzieren, verringern"
"il consumo";"Konsum,Verbrauch"
"consumare";"konsumieren,verzehren"
"la prevenzione";"Vorsorge, Pravention"
"la salute";"Gesundheit"
"invecchiare";"alt werden"
"dire"";"sagen"
"il proverblo";"Sprichwort"
"la raglone";"Grund"
"i placere";"Freude"
"in compagnla";"in Gesellschaft"
"soclale";"sozial"
"da sempre";"schon immer, seit eh und <br> je"
"I'"Importanza";"Bedeutung"
"di alta qualita";"von hoher Oualitat"
"la pandemia";"Pandemie"
"mostrare";"zeigen"
"aumentare";"steigen"
"I'attenzionef";"Aufmerksamkeit"
"un quarto";"ein Viertel"
"eliminare";"beseitigen; hier: verzich- <br> ten auf"
"blologlco/a pl-ci-che";"Bio-"
"staglonale";"saisonal"
"cercare";"hier: versuchen, sich be <br> muhen"
"secondo";"gemaß, nach"
"rappresentare";"darstellen"
"la condivisione";"Gemeinsamkeit"
"la felicita";"Gluck"
"Inoltre";"daruber hinaus"
"bfar male";"hier: ungesund sein"
"I'almentazione f";"Ernahrung"
"tanto aw";"viel"
"c l'aggettivo";"Adjektiv"
"l'avverblo";"Adverb"
"personalmente";"personlich"
"il gusto";"Geschmack"
"maturo/a";"reif"
"c resistere";"widerstehen"
"intollerante a";"intolerant gegen"
"allerglco/aa pl-ci-che";"allergisch gegen"
"INC la sagra";"einer gastronomischen <br> Spezialitat gewidmetes <br> Volksfest"
"ll/la pescatore/-trice";"Fischer/in"
"il borgo pl-ghi";"Dorf"
"raro/a";"selten"
"frlggere";"frittieren"
"la padella";"Pfanne"
"gigante";"gigantisch, riesengroB"
"largo/a pl-ghi-ghe";"breit"
"pesare";"wiegen"
"la tonnellata";"Tonne"
"solo/a";"einzige/r/s"
"rluscire a";"es schaffen"
"la barca";"Boot"
"appena";"eben, gerade"
"pescare";"fangen, fischen"
"la salsa";"SoBe"
"un glorno";"eines Tages"
"smettere"";"aufhoren"
"popolare";"Volks-"
"tipicamente";"typisch"
"legato/a a";"yerbunden mit"
"ll/la santo/a patrono/a";"Schutzpatron/in"
"vero/a";"wirklich, echt"
"il/la santo/a";"Heiliger/Heilige"
"la polenta";"Polenta"
"la castagna";"Esskastanie"
"Il vitello tonnato";"dunn aufgeschnittenes, <br> mit einer ThunfischsoBe <br> Oberzogenes Kalbfleisch"
"la blstecca";"Steak"
"lo stress";"Stress"
"forse";"vielleicht"
"Dottore";"Herr Doktor"
"ll/la tassista";"Taxifahrer/in"
"Il Valpollcella";"Valpolicella-Wein"
"l'assagglo";"Kostprobe"
