#html:true
#deck:Fantastico! A1::IT -> DE::03 - Che profumo
"Che profumo!";"Was fur ein Duft!"
"Il lmone";"Zitrone"
"lo zucchero";"Zucker"
"la pladina";"dunnes, gefullt serviertes <br> Fladenbrot"
"mettere al posto glusto";"richtig ein-/zuordnen"
"Per chl?";"Fur wen?"
"la caffettlera";"Espressokanne"
"come";"wie"
"usare";"benutzen"
"mettere";"stellen, tun"
"sul fuoco";"auf das Feuer, auf den <br> Herd"
"Il fuoco";"Feuer"
"su";"auf"
"chiudere"";"schlieBen"
"versare";"gieBen"
"la tazzina";"Espressotasse"
"gustare";"genieBen"
"la polvere";"Pulver"
"il filtro";"Filter"
"mescolare";"mischen, umrühren"
"Il cucchiaino";"Teeloffel"
"Qual e...?";"Wie ist/lautet …?"
"tuo/a";"dein/e"
"a sorpresa";"hier: zufallig"
"la sorpresa";"Oberraschung"
"ll numero di telefono";"Telefonnummer"
"il telefono";"Telefon"
"Suo/a";"Ihr/e"
"Il cellulare";"Handy"
"mlo/a";"mein/e"
"compagno/a";"Mitschulerin; hier: <br> Kursteilnehmende()"
"e per finire";"zu guter Letzt"
"finire (-isc-)";"beenden; enden"
"INC l'ape-bar m";"Ape-Bar, mobile Espresso <br> Bar"
"ognl";"jede/r/s"
"ognl giorno";"jeden Tag"
"Il posto";"Platz, Ort"
"diverso/a";"andere/r/s"
"amare";"lieben"
"a colazione";"zum Fruhstuck"
"a pranzo";"zum Mittagessen"
"prima di";"vor (zeitlich)"
"la cena";"Abendessen"
"il/lacollega <br> pl-ghi/-ghe";"Kollege/Kollegin"
"ilcocktall bar";"Cocktailbar"
"il bar cloccolatera";"Bar mit Schokoladenspezi- <br> alitaten"
"Il bar pasticerla";"Bar und Konditorei"
"il bar gelaterla";"Bar und Eisdiele"
"ora aw";"jetzt"
"genlale";"genial"
"tradizionale";"traditionell"
"naturalmente";"naturlich"
"di qualita";"Qualitats-"
"Trova l'Intruso.";"Was passt nicht dazu?"
"l'intruso/a";"Eindringling"
"accettare";"annehmen"
"rifiutare";"ablehnen"
"Quanti...!";"So viele"
"Come si dice in";"Wie sagt man .…. auf Itali-"
"Italiano...?";"enisch?"
