#html:true
#deck:Fantastico! A1::06 - Dove fai la spessa
"fare la spesa";"einkaufen"
"sono le... meno un <br> quarto";"es ist Viertel vor …"
"sono le... meno venti";"es ist zwanzig vor"
"tra le...e le...";"zwischen .….und ..Uhr"
"in plù";"dazu"
"fare colazione";"fruhstucken"
"dormire";"schlafen"
"andare a dormire";"schlafen gehen"
"INC lo/la sfoglino/a";"Person,die Nudeln von <br> Hand herstellt"
"esistere";"existieren"
"il pastificio";"Geschaft, in dem frische <br> Nudeln von Hand herge- <br> stellt und verkauft werden"
"questo/a";"diese/r/s"
"la tradizione";"Tradition"
"da";"seit"
"la generazione";"Generation"
"Il/la nonno/a";"GroBvater/-mutter, Opa/ <br> Oma"
"la mamma";"Mama, Mutter"
"la sfoglia";"Nudelteig"
"lavorare";"hier: verarbeiten"
"la pasta";"hier: Teig"
"la base";"Basis, Grundlage"
"I tortellini pl";"Tortellini"
"le lasagne pl";"Lasagne"
"Il primo platto";"erster Gang"
"l'arte";"Kunst"
"a mano";"von Hand"
"Il macchinario";"Maschine, Gerat"
"la ricetta";"Rezept"
"poco/a <i> pl -chi/-che </i>";"wenig"
"l'ingrediente m";"Zutat"
"l'uovo <i> pl uova </i>";"Ei"
"tanto/a";"viel"
"la passlone";"Leidenschaft"
"il banco";"hier: Stand"
"venire a trovare";"besuchen kommen"
"la categorla";"Kategorie"
"Il tiramisu";"Tiramisu"
"la llsta della spesa";"Einkaufsliste"
"normalmente";"normalerweise"
"strano/a";"seltsam"
"Il risotto";"Risotto"
"Il mascarpone";"Mascarpone"
"alla genovese";"auf Genueser Art"
"portare";"bringen"
"lo spagnolo";"Spanisch (Sprache)"
"la festa";"Fest"
