#html:true
#deck:Fantastico! A1::DE -> IT::12 - Come mi sta
"hier: stehen (Kleidung)";"stare"
"Meter";"il metro"
"Teil";"la parte"
"Marke";"la marca"
"exportieren";"esportare"
"Mathematik";"la matematica"
"Elefant";"I'elefante"
"Platz schaffen";"far posto"
"Erinnerung";"Ilricordo"
"romantisch";"romantico/a pl-c/-che"
"toskanisch";"toscano/a"
"abhangen";"dipendere"
"Seide";"la seta"
"Höhe";"l'altitudine f"
"Meeresspiegel";"il livello del mare"
"Distanz";"la distanza"
"Adria";"I'Adrlatico"
"grunden";"fondare"
"(er)bauen";"costruire (-isc-)"
"entspannend";"rllassante"
