#html:true
#deck:Fantastico! A1::04 - Nomi cosi citta
"lacosa";"Ding, Sache"
"essere patrimonlo";"zum UNESCO-Welterbe"
"UNESCO";"zahlen"
"la pasta con le sarde";"sizilianisches Nudelgericht <br> mit Sardinenfilets, Pinien- <br> kernen, Rosinen, wildem <br> Fenchel"
"la cassata siciliana";"sizilignische Schichtorte <br> aus Ricotta und Pan di <br> Spagna (Biskuitart)"
"clrca";"circa"
"la biglletteria";"Vorverkaufsschalter"
"la lingua";"Sprache"
"perche";"weil"
"chattare";"chatten"
"la Puglla";"Apulien"
"I'Umbria";"Umbrien"
