#html:true
#deck:Fantastico! A1::DE -> IT::07 - Ti piace
"Gefallt es dir?";"Ti place?"
"junger Mensch";"il/la giovane"
"alles daran setzen";"fare di tutto"
"(ver)andern";"cambiare"
"Tendenz";"la tendenza"
"Castingshow";"il talent show"
"Schule";"la scuola"
"veroffentlichen";"pubblicare"
"ihre/seine";"suoi pl"
"Video";"il video"
"hier: verbinden, vereinen";"fondere"
"Arie";"l'aria"
"Lied";"la canzone"
"Klassik-Pop";"pop-ljrico/a pl-ci/-che"
"überzeugen";"convincere"
"langweilig";"noioso/a"
"cool";"cool"
"Liebhaber/in";"l'amante m/f"
"Klavier";"il piano"
"Orchester";"l'orchestra"
"Musiker/in";"il/la musicista"
"Feriendorf";"il villaggio turistico"
"wie haufig?";"con che frequenza?"
"Haufigkeit";"la frequenza"
"Fragebogen";"il questionario"
"versteckt";"nascosto/a"
